id;question_hash;answer;model;tokens;created_at
1;as jot;../fake-data/blob/hipster.txt;vibraphone phew gadzooks;11477;2026-06-20T08:18:01
2;CD because;../fake-data/blob/hipster.txt;loyally;31831;2026-06-21T01:39:23
3;backburn whether yearningly;../fake-data/blob/hipster.txt;yippee;9809;2026-06-20T07:13:17
4;lawmaker strictly guard;../fake-data/blob/hipster.txt;strictly whoever reproachfully;17908;2026-06-20T17:43:12
5;puff the yahoo;../fake-data/blob/hipster.txt;charter because;17526;2026-06-20T17:47:07
6;blowgun slip chiffonier;../fake-data/blob/hipster.txt;phew bah;12880;2026-06-20T03:28:19
7;expatiate middle fooey;../fake-data/blob/hipster.txt;since rightfully ah;28903;2026-06-20T22:34:26
8;outrun like;../fake-data/blob/hipster.txt;weakly as;3102;2026-06-20T22:09:44
9;cosset times floodlight;../fake-data/blob/hipster.txt;ouch presell;27347;2026-06-20T16:21:52
10;athwart;../fake-data/blob/hipster.txt;of until solemnly;24269;2026-06-21T00:40:45
