id;company;role_title;job_url;ats_platform;job_description;status;source;applied_at;created_at;updated_at
1;supposing;yearningly;although blond;kaleidoscopic gradient;../fake-data/blob/hipster.txt;REJECTED;warmly;2026-06-20T23:09:06;2026-06-20T10:09:51;2026-06-20T03:42:36
2;ha;through lest in;robust;fervently;../fake-data/blob/hipster.txt;APPLIED;confute questioningly jaggedly;2026-06-20T15:13:51;2026-06-20T22:04:08;2026-06-20T05:16:53
3;hungrily represent;uh-huh;unhappy yearn;ligate;../fake-data/blob/hipster.txt;SAVED;scorpion prudent;2026-06-20T17:02:21;2026-06-20T20:44:13;2026-06-20T21:24:45
4;save hmph;behind realistic;faithfully;greatly frankly;../fake-data/blob/hipster.txt;SAVED;oh know;2026-06-20T13:55:01;2026-06-20T17:01:46;2026-06-20T05:12:21
5;tremendously;since;wherever consequently;by;../fake-data/blob/hipster.txt;REJECTED;huff flight yellowish;2026-06-20T14:09:13;2026-06-20T16:44:40;2026-06-20T11:44:29
6;crafty sell;meh sizzle warmhearted;cheetah unto;busy calculus gee;../fake-data/blob/hipster.txt;INTERVIEW;slushy apud atop;2026-06-20T23:18:06;2026-06-20T15:24:41;2026-06-20T08:47:41
7;upbeat square;considering;past ectoderm;direct minus;../fake-data/blob/hipster.txt;SAVED;garrote absent sugary;2026-06-20T18:38:37;2026-06-20T13:54:01;2026-06-20T20:46:50
8;rundown necklace;crossly after poorly;live offset;case;../fake-data/blob/hipster.txt;APPLIED;colonialism oof prohibition;2026-06-20T21:45:42;2026-06-20T11:16:11;2026-06-20T03:01:35
9;incidentally failing less;so viciously phooey;zowie readily caring;knavishly as;../fake-data/blob/hipster.txt;INTERVIEW;eek worth warm;2026-06-20T17:34:42;2026-06-20T10:05:27;2026-06-20T04:31:58
10;sometimes whoa or;supposing;drat consequently dutiful;for now;../fake-data/blob/hipster.txt;REJECTED;toward bloom;2026-06-20T11:17:24;2026-06-20T23:09:22;2026-06-20T15:57:05
