id;field_key;context_hash;value;hit_count;updated_at
1;hence depot;cricket yowza;../fake-data/blob/hipster.txt;26986;2026-06-20T04:14:03
2;brief;atop;../fake-data/blob/hipster.txt;2111;2026-06-20T06:40:56
3;modulo rot;carefully corporation woot;../fake-data/blob/hipster.txt;10390;2026-06-20T17:10:23
4;qua;meanwhile shakily sustenance;../fake-data/blob/hipster.txt;12280;2026-06-20T13:46:11
5;biodegradable traffic;account;../fake-data/blob/hipster.txt;9943;2026-06-20T18:14:42
6;woefully stool whoa;weary meh;../fake-data/blob/hipster.txt;5753;2026-06-20T16:36:51
7;puzzled;wilted ick;../fake-data/blob/hipster.txt;28768;2026-06-20T23:09:43
8;why lampoon accidentally;gosh consequently crooked;../fake-data/blob/hipster.txt;11702;2026-06-20T09:14:34
9;though dividend shark;off;../fake-data/blob/hipster.txt;7987;2026-06-20T22:51:07
10;opposite;if psst bah;../fake-data/blob/hipster.txt;3127;2026-06-20T07:35:11
